trip_id,stop_id,arrival_time,departure_time,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,continuous_pickup,continuous_drop_off,timepoint
689d9098-2132-469c-a01e-a2b90aa70802:1,6012,16:00:00,16:00:00,1,,0,0,0.0,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:1,6018,16:05:00,16:05:00,2,,0,0,459.0,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:1,6032,16:10:00,16:10:00,3,,0,0,761.0,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:1,3003,16:20:00,16:20:00,4,,0,0,4518.0,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:1,3004,16:21:00,16:21:00,5,,0,0,4853.0,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:1,3,16:24:00,16:24:00,6,,0,0,6209.0,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:1,6012,16:30:00,16:30:00,7,,0,0,,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:2,6012,16:30:00,16:30:00,1,,0,0,,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:2,6018,16:35:00,16:35:00,2,,0,0,,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:2,6032,16:40:00,16:40:00,3,,0,0,,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:2,3003,16:50:00,16:50:00,4,,0,0,,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:2,3004,16:51:00,16:51:00,5,,0,0,,1,1,1
689d9098-2132-469c-a01e-a2b90aa70802:2,3,16:54:00,16:54:00,6,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:1,2003,18:30:00,18:30:00,1,,0,0,0.0,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:1,2036,18:32:00,18:32:00,2,,0,0,250.0,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:1,2004,18:33:00,18:33:00,3,,0,0,350.0,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:1,6019,18:38:00,18:38:00,4,,0,0,803.0,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:1,3003,18:42:00,18:42:00,5,,0,0,1538.0,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:1,3004,18:44:00,18:44:00,6,,0,0,1873.0,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:1,4,18:50:00,18:50:00,7,,0,0,3182.0,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:1,2003,19:00:00,19:00:00,8,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:2,2003,19:00:00,19:00:00,1,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:2,2036,19:02:00,19:02:00,2,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:2,2004,19:03:00,19:03:00,3,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:2,6019,19:08:00,19:08:00,4,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:2,3003,19:12:00,19:12:00,5,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:2,3004,19:14:00,19:14:00,6,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:2,4,19:20:00,19:20:00,7,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:2,2003,19:30:00,19:30:00,8,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:3,2003,19:30:00,19:30:00,1,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:3,2036,19:32:00,19:32:00,2,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:3,2004,19:33:00,19:33:00,3,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:3,6019,19:38:00,19:38:00,4,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:3,3003,19:42:00,19:42:00,5,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:3,3004,19:44:00,19:44:00,6,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:3,4,19:50:00,19:50:00,7,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:3,2003,20:00:00,20:00:00,8,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:4,2003,20:00:00,20:00:00,1,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:4,2036,20:02:00,20:02:00,2,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:4,2004,20:03:00,20:03:00,3,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:4,6019,20:08:00,20:08:00,4,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:4,3003,20:12:00,20:12:00,5,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:4,3004,20:14:00,20:14:00,6,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:4,4,20:20:00,20:20:00,7,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:4,2003,20:30:00,20:30:00,8,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:5,2003,20:30:00,20:30:00,1,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:5,2036,20:32:00,20:32:00,2,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:5,2004,20:33:00,20:33:00,3,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:5,6019,20:38:00,20:38:00,4,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:5,3003,20:42:00,20:42:00,5,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:5,3004,20:44:00,20:44:00,6,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:5,4,20:50:00,20:50:00,7,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:5,2003,21:00:00,21:00:00,8,,0,0,,1,1,1
17e9310e-60b3-4877-8da1-5ce56031f895:6,2003,21:00:00,21:00:00,1,,0,0,,1,1,1
