stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
4001,,Katella Ave. WB @ Harbor Blvd.,,Desert Palms Hotel,33.803462,-117.915826,,,0,,,0,,
4019,,La Palma Ave. WB @ Shepard St.,,Social Services,33.8524,-117.85275,,,0,,,0,,
2001,,Harbor Blvd. SB @ Katella Ave.,,"Residence Inn, Springhill Suites, and Portofino Inn",33.802844,-117.915467,,,0,,,0,,
2036,,Harbor Blvd. SB @ 2141 S. Harbor Blvd.,,Capri Suites,33.79464358,-117.9152157,,,0,,,0,,
4010,,Harbor Blvd. NB @ Santa Ana St.,,Anaheim Police Department,33.83017,-117.91815,,,0,,,0,,
6012,,Harbor Blvd. SB @ Chapman Ave.,,Residence Inn GG,33.789833,-117.915122,,,0,,,0,,
4006,,Ball Rd. EB @ West Pl.,,Staybridge Suites Anaheim at the Park,33.817977,-117.924424,,,0,,,0,,
3003,,Harbor Blvd. NB @ Orangewood Ave.,,"Best Western Plus Raffles Inn, Dolphin's Cove",33.79704,-117.91497,,,0,,,0,,
4003,,Ball Rd. EB @ Walnut St.,,Springhill Suites Maingate,33.81794694,-117.9274404,,,0,,,0,,
6000,,ARTIC Bay 12 and 13,,,33.8035042168278,-117.876953731317,,,0,,,0,,
2008,,Anaheim Convention Center Grand Plaza,,"Anaheim Marriott, Hilton Anaheim",33.79960977,-117.917866,,,0,,,0,,
4004,,Ball Rd. EB @ Cast Place,,TDA,33.81795,-117.92129,,,0,,,0,,
6024,,Clementine St. NB @ Alro Way,,"SunCoast Park Hotel, Element Anaheim Resort",33.808372646922,-117.909898999188,,,0,,,0,,
5011,,Vermont Ave. EB @ Melrose St.,,Maintenance Facility,33.824172,-117.905211,,,0,,,0,,
5012,,La Palma Ave. EB @ State College Blvd.,,,33.84717,-117.88879,,,0,,,0,,
3008,,Walnut Ave. NB @ 1240 S. Walnut Ave.,,Holiday Inn & Suites Anaheim,33.81682,-117.92815,,,0,,,0,,
4009,,Vermont Ave WB @ Olive St.,,Maintenance Facility,33.82428404,-117.9051358,,,0,,,0,,
4007,,La Palma Ave. WB @ Fountain Way,,Kaiser Hospital,33.85461,-117.84378,,,0,,,0,,
4018,,La Palma Ave. EB @ Shepard St.,,Social Services,33.85253,-117.85136,,,0,,,0,,
4011,,La Palma Ave. EB @ Grove St.,,Kaiser Hospital,33.854681,-117.842713,,,0,,,0,,
2021,,Clementine St. NB @ 1700 S. Clementine St.,,Clementine Hotel,33.80532,-117.90941,,,0,,,0,,
4012,,Anaheim Canyon Metrolink Station,,,33.85484667,-117.8399317,,,0,,,0,,
4005,,Harbor Blvd. SB @ 1221 S. Harbor Blvd.,,Four Points,33.81749,-117.91577,,,0,,,0,,
3010,,Anaheim Blvd. NB @ Oak St.,,City Hall,33.83494,-117.91349,,,0,,,0,,
4008,,La Palma Ave. WB @ State College Blvd.,,,33.8474,-117.88991,,,0,,,0,,
4,,Disneyland Main Transportation Center - 04,,,33.80938,-117.91719,,,0,,,0,,
2004,,Harbor Blvd. SB @ Wilken Way,,Stanford Inn,33.793846,-117.915161,,,0,,,0,,
8,,Disneyland Main Transportation Center - 08,,Hotel Circle Line,33.809509490265,-117.916510219042,,,0,,,0,,
2007,,Convention Way EB @ Harbor Blvd.,,Clarion Hotel,33.79961,-117.91627,,,0,,,0,,
