from_stop_id,to_stop_id,min_transfer_time
2,16,29.9
2,31,19.1
16,31,37.2
7,15,49.9
7,24,49.9
7,26,33.4
7,35,15.9
7,47,33.4
15,26,50.7
15,35,33.2
15,47,50.7
15,24,2.0
24,26,50.7
24,35,33.2
24,47,50.7
26,35,49.7
26,47,2.0
35,47,17.5
8,18,83.2
8,22,15.0
18,22,85.2
10,11,171.7
10,23,2.0
11,23,171.7
32,51,148.4
39,36,94.8
42,56,28.1
45,41,124.7
48,49,14.4
59,61,168.6
59,60,2.0
59,63,2.0
61,60,168.6
61,63,168.6
60,63,2.0
16,2,29.9
31,2,19.1
31,16,37.2
15,7,49.9
24,7,49.9
26,7,33.4
35,7,15.9
47,7,33.4
26,15,50.7
35,15,33.2
47,15,50.7
24,15,2.0
26,24,50.7
35,24,33.2
47,24,50.7
35,26,49.7
47,26,2.0
47,35,17.5
18,8,83.2
22,8,15.0
22,18,85.2
11,10,171.7
23,10,2.0
23,11,171.7
51,32,148.4
36,39,94.8
56,42,28.1
41,45,124.7
49,48,14.4
61,59,168.6
60,59,2.0
63,59,2.0
60,61,168.6
63,61,168.6
63,60,2.0
