from_stop_id,to_stop_id,min_transfer_time
1,17,171.7
1,14,343.4
17,14,171.7
8,11,10.8
8,56,28.8
11,56,18.0
12,41,16.5
12,63,33.8
12,68,16.5
12,69,49.7
12,15,33.0
41,15,16.5
41,63,17.3
41,69,33.2
41,68,33.0
63,15,33.8
63,68,49.9
63,69,15.9
68,15,16.5
68,69,33.2
69,15,49.7
16,36,168.6
16,38,168.6
16,47,168.6
36,38,337.2
36,47,337.2
38,47,337.2
21,26,94.8
22,35,83.2
22,51,15.0
35,51,85.2
28,58,28.1
30,53,124.7
43,61,14.4
66,67,148.4
17,1,171.7
14,1,343.4
14,17,171.7
11,8,10.8
56,8,28.8
56,11,18.0
41,12,16.5
63,12,33.8
68,12,16.5
69,12,49.7
15,12,33.0
15,41,16.5
63,41,17.3
69,41,33.2
68,41,33.0
15,63,33.8
68,63,49.9
69,63,15.9
15,68,16.5
69,68,33.2
15,69,49.7
36,16,168.6
38,16,168.6
47,16,168.6
38,36,337.2
47,36,337.2
47,38,337.2
26,21,94.8
35,22,83.2
51,22,15.0
51,35,85.2
58,28,28.1
53,30,124.7
61,43,14.4
67,66,148.4
