trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
689d9098-2132-469c-a01e-a2b90aa70802:1,bc404235-c139-4efb-90fb-798fbbddc35c,017462a2-8150-4f3a-92cb-a2233906ecd5,,,,,bcb38af5-2b20-4903-ac8c-8128e17c3f2d,0,0
689d9098-2132-469c-a01e-a2b90aa70802:2,bc404235-c139-4efb-90fb-798fbbddc35c,017462a2-8150-4f3a-92cb-a2233906ecd5,,,,,bcb38af5-2b20-4903-ac8c-8128e17c3f2d:T,0,0
17e9310e-60b3-4877-8da1-5ce56031f895:1,eb71ec26-dabb-4704-97a6-b851a1d06eb2,022f4234-a772-40d2-a0e4-c9be588a46f9,4 Harbor Line,,,,02a04c5c-6c63-4d5a-ac33-271b9916abd3,0,0
17e9310e-60b3-4877-8da1-5ce56031f895:2,eb71ec26-dabb-4704-97a6-b851a1d06eb2,022f4234-a772-40d2-a0e4-c9be588a46f9,4 Harbor Line,,,,02a04c5c-6c63-4d5a-ac33-271b9916abd3,0,0
17e9310e-60b3-4877-8da1-5ce56031f895:3,eb71ec26-dabb-4704-97a6-b851a1d06eb2,022f4234-a772-40d2-a0e4-c9be588a46f9,4 Harbor Line,,,,02a04c5c-6c63-4d5a-ac33-271b9916abd3,0,0
17e9310e-60b3-4877-8da1-5ce56031f895:4,eb71ec26-dabb-4704-97a6-b851a1d06eb2,022f4234-a772-40d2-a0e4-c9be588a46f9,4 Harbor Line,,,,02a04c5c-6c63-4d5a-ac33-271b9916abd3,0,0
17e9310e-60b3-4877-8da1-5ce56031f895:5,eb71ec26-dabb-4704-97a6-b851a1d06eb2,022f4234-a772-40d2-a0e4-c9be588a46f9,4 Harbor Line,,,,02a04c5c-6c63-4d5a-ac33-271b9916abd3,0,0
17e9310e-60b3-4877-8da1-5ce56031f895:6,eb71ec26-dabb-4704-97a6-b851a1d06eb2,022f4234-a772-40d2-a0e4-c9be588a46f9,4 Harbor Line,,,,02a04c5c-6c63-4d5a-ac33-271b9916abd3:T,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:1,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:2,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:3,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:4,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:5,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:6,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:7,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:8,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:9,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:10,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:11,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:12,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
6614cb7a-ab2d-44a3-a48b-fcec67351ab7:13,8f305689-4315-445e-abea-920dbbf0be5e,02d8b020-a7c1-4ded-a15f-2cab457c9084,,,,,7cbe6844-2881-4070-ba65-c1aab7cbf632,0,0
