from_stop_id,to_stop_id,min_transfer_time
5,11879,1
5,16188,1
11879,16188,1
13,14074,1
18,22500,1
21,1033,1
21,7928,1
21,8204,1
21,9432,1
21,13531,1
21,13870,1
1033,7928,1
1033,8204,1
1033,9432,1
1033,13531,1
1033,13870,1
7928,8204,1
7928,9432,1
7928,13531,1
7928,13870,1
8204,9432,1
8204,13531,1
8204,13870,1
9432,13531,1
9432,13870,1
13531,13870,1
26,15210,1
26,15668,1
15210,15668,1
28,18513,1
28,22057,1
28,22406,1
18513,22057,1
18513,22406,1
22057,22406,1
46,1396,1
46,2095,22
46,3908,1
46,4139,1
46,5607,1
46,8369,1
46,8497,1
46,10267,1
46,11347,1
46,12249,1
46,12669,1
46,13541,1
46,17530,1
46,22302,1
46,22517,1
1396,2095,22
1396,3908,1
1396,4139,1
1396,5607,1
1396,8369,1
1396,8497,1
1396,10267,1
1396,11347,1
1396,12249,1
1396,12669,1
1396,13541,1
1396,17530,1
1396,22302,1
1396,22517,1
2095,3908,22
2095,4139,22
2095,5607,22
2095,8369,22
2095,8497,22
2095,10267,22
2095,11347,22
2095,12249,22
2095,12669,22
2095,13541,22
2095,17530,22
2095,22302,22
2095,22517,22
3908,4139,1
3908,5607,1
3908,8369,1
3908,8497,1
3908,10267,1
3908,11347,1
3908,12249,1
3908,12669,1
3908,13541,1
3908,17530,1
3908,22302,1
3908,22517,1
4139,5607,1
4139,8369,1
4139,8497,1
4139,10267,1
4139,11347,1
4139,12249,1
4139,12669,1
4139,13541,1
4139,17530,1
4139,22302,1
4139,22517,1
5607,8369,1
5607,8497,1
5607,10267,1
5607,11347,1
5607,12249,1
5607,12669,1
5607,13541,1
5607,17530,1
5607,22302,1
5607,22517,1
8369,8497,1
8369,10267,1
8369,11347,1
8369,12249,1
8369,12669,1
8369,13541,1
8369,17530,1
8369,22302,1
8369,22517,1
8497,10267,1
8497,11347,1
8497,12249,1
8497,12669,1
8497,13541,1
8497,17530,1
8497,22302,1
8497,22517,1
10267,11347,1
10267,12249,1
10267,12669,1
10267,13541,1
10267,17530,1
10267,22302,1
10267,22517,1
11347,12249,1
11347,12669,1
11347,13541,1
11347,17530,1
11347,22302,1
11347,22517,1
12249,12669,1
12249,13541,1
12249,17530,1
12249,22302,1
12249,22517,1
12669,13541,1
12669,17530,1
12669,22302,1
12669,22517,1
13541,17530,1
13541,22302,1
13541,22517,1
17530,22302,1
17530,22517,1
22302,22517,1
47,2693,1
49,19696,20
52,8848,1
52,9122,1
52,11701,90
52,21523,90
8848,9122,1
8848,11701,90
8848,21523,90
9122,11701,90
9122,21523,90
11701,21523,1
54,6498,1
58,763,1
58,3711,1
58,11512,1
58,11931,1
58,18295,1
58,19660,1
58,19731,1
763,3711,1
763,11512,1
763,11931,1
763,18295,1
763,19660,1
763,19731,1
3711,11512,1
3711,11931,1
3711,18295,1
3711,19660,1
3711,19731,1
11512,11931,1
11512,18295,1
11512,19660,1
11512,19731,1
11931,18295,1
11931,19660,1
11931,19731,1
18295,19660,1
18295,19731,1
19660,19731,1
59,200,1
59,10152,1
59,14919,1
59,19734,1
200,10152,1
200,14919,1
200,19734,1
10152,14919,1
10152,19734,1
14919,19734,1
60,11875,1
71,9779,1
78,299,1
78,301,1
78,830,1
78,962,1
78,1072,1
78,1112,1
78,1119,1
78,1412,1
78,1623,1
78,1714,1
78,1729,1
78,1737,1
78,1943,1
78,2024,1
78,2051,1
78,2594,1
78,2620,1
78,2890,1
78,3014,1
78,3070,1
78,3187,1
78,3341,1
78,3555,1
78,3652,1
78,3792,1
78,3912,1
78,3947,1
78,4236,1
78,4257,1
78,4287,1
78,4580,1
78,4853,1
78,4868,1
78,5164,1
78,5838,1
78,5991,1
78,6084,1
78,6154,1
78,6432,1
78,6762,1
78,6920,1
78,7017,1
78,7111,1
78,7119,1
78,7165,1
78,7300,1
78,7556,1
78,7656,1
78,8051,1
78,8230,1
78,8616,1
78,8661,1
78,8809,1
78,8821,1
78,8872,1
78,9587,1
78,9671,1
78,9713,1
78,10027,1
78,10247,1
78,10341,1
78,10347,1
78,10577,1
78,10585,1
78,10920,1
78,11009,1
78,11012,1
78,11115,1
78,11150,1
78,11338,1
78,11468,1
78,12007,1
78,12026,1
78,12091,1
78,12134,1
78,12281,1
78,12363,1
78,12465,1
78,12554,1
78,12562,1
78,12699,1
78,12749,1
78,12850,1
78,12884,1
78,12982,1
78,13052,1
78,13246,1
78,13247,1
78,13414,1
78,13668,1
78,13763,1
78,13952,1
78,14031,1
78,14338,1
78,14701,1
78,14707,1
78,14863,1
78,14899,1
78,14983,1
78,15160,1
78,15359,1
78,15410,1
78,15500,1
78,15512,1
78,15546,1
78,15899,1
78,16018,1
78,16089,1
78,16106,1
78,16240,1
78,16295,1
78,16447,1
78,16762,1
78,17383,1
78,17799,1
78,17916,1
78,17948,1
78,18320,1
78,18741,1
78,18751,1
78,18766,1
78,18782,1
78,19091,1
78,19194,1
78,19206,1
78,19449,1
78,19807,1
78,20053,1
78,20254,1
78,20299,1
78,20388,1
78,20591,1
78,20602,1
78,20791,1
78,20837,1
78,20863,1
78,20978,1
78,21061,1
78,21151,1
78,21253,1
78,21259,1
78,21449,1
78,21458,1
78,21648,1
78,21729,1
78,21867,1
78,21966,1
78,22025,1
78,22053,1
78,22058,1
78,22522,1
78,22530,1
78,22857,1
299,301,1
299,830,1
299,962,1
299,1072,1
299,1112,1
299,1119,1
299,1412,1
299,1623,1
299,1714,1
299,1729,1
299,1737,1
299,1943,1
299,2024,1
299,2051,1
299,2594,1
299,2620,1
299,2890,1
299,3014,1
299,3070,1
299,3187,1
299,3341,1
299,3555,1
299,3652,1
299,3792,1
299,3912,1
299,3947,1
299,4236,1
299,4257,1
299,4287,1
299,4580,1
299,4853,1
299,4868,1
299,5164,1
299,5838,1
299,5991,1
299,6084,1
299,6154,1
299,6432,1
299,6762,1
299,6920,1
299,7017,1
299,7111,1
299,7119,1
299,7165,1
299,7300,1
299,7556,1
299,7656,1
299,8051,1
299,8230,1
299,8616,1
299,8661,1
299,8809,1
299,8821,1
299,8872,1
299,9587,1
299,9671,1
299,9713,1
299,10027,1
299,10247,1
299,10341,1
299,10347,1
299,10577,1
299,10585,1
299,10920,1
299,11009,1
299,11012,1
299,11115,1
299,11150,1
299,11338,1
299,11468,1
299,12007,1
299,12026,1
299,12091,1
299,12134,1
299,12281,1
299,12363,1
299,12465,1
299,12554,1
299,12562,1
299,12699,1
299,12749,1
299,12850,1
299,12884,1
299,12982,1
299,13052,1
299,13246,1
299,13247,1
299,13414,1
299,13668,1
299,13763,1
299,13952,1
299,14031,1
299,14338,1
299,14701,1
299,14707,1
299,14863,1
299,14899,1
