trips,routes
9150_4,8192
3414_31,8197
2949_87,8201
5807_56,8202
6592_6,8203
7134_24,8208
6020_0,8213
6262_6,8214
8577_75,8215
4572_10,8228
4951_15,8231
9150_90,8234
3315_1,8235
2481_9,8239
4504_7,8241
5807_50,8242
9067_1,8244
2407_18,8246
6458_4,8247
7383_64,8248
8629_98,8249
9271_41,8251
8810_3,8253
1707_7,8258
1257_19,8259
4153_64,8267
6601_14,8271
4851_0,8272
3678_3,8278
4607_16,8285
3664_2,8287
9898_40,8288
6845_24,8289
9898_27,8291
3908_0,8293
2962_0,8294
2850_4,8295
4153_94,8296
4940_13,8299
3414_8,8302
4780_18,8307
9158_12,8308
2715_12,8309
9718_8,8313
2444_26,8320
3198_8,8321
5116_0,8329
1394_0,8330
9674_65,8333
5497_34,8340
3328_22,8342
8285_9,8343
4296_5,8344
6299_68,8346
4607_44,8347
9898_59,8349
4047_8,8350
9515_69,8352
8518_89,8356
4025_4,8361
2493_6,8363
3185_11,8365
2713_11,8366
7385_6,8367
2834_11,8368
8828_0,8387
6955_1,8390
2760_6,8394
9075_64,8412
7383_24,8414
3036_7,8416
8722_70,8419
1256_27,8421
7045_17,8424
2397_3,8425
9273_0,8429
8501_6,8433
4780_79,8439
4608_33,8446
6457_2,8449
9527_42,8455
8671_27,8460
4022_15,8480
1271_68,8483
7815_2,8493
5642_3,8501
7683_1,8507
8524_6,8515
2889_6,8518
2407_17,8521
4558_35,8522
5112_10,8524
2479_34,8526
2831_14,8530
9515_81,8531
4751_7,8533
7472_2,8534
2395_3,8535
6374_19,8536
3439_5,8538
4918_0,8543
9515_75,8555
1925_26,8556
2740_30,8557
5175_9,8560
5161_40,8573
8480_3,8575
9075_69,8576
7290_0,8577
5612_7,8578
3899_1,8579
1673_5,8580
3965_77,8581
3745_11,8583
5938_7,8584
9607_0,8585
4780_62,8587
1292_9,8588
9564_18,8589
4213_7,8591
7196_1,8592
8792_2,8594
7768_2,8606
4438_0,8611
3486_8,8620
5182_13,8622
4679_2,8624
3397_15,8625
3581_10,8626
3677_53,8629
6835_0,8631
1114_7,8632
7037_2,8638
8518_49,8639
7190_3,8640
8501_7,8643
2795_2,8653
9484_19,8666
6924_1,8671
4607_14,8673
6890_4,8677
6872_67,8678
1854_6,8679
6711_4,8694
8356_0,8697
6179_43,8703
3747_75,8707
2740_28,8709
6254_7,8715
5507_14,8716
8809_36,8718
7405_21,8720
3811_0,8722
1847_10,8726
4797_75,8727
2990_12,8730
2717_47,8731
4987_39,8741
2923_1,8744
8083_3,8749
6926_11,8753
8034_20,8754
3371_0,8758
6845_54,8761
6179_14,8762
8577_62,8763
5497_89,8765
9619_3,8772
7789_56,8773
9150_88,8776
6379_20,8784
3602_16,8792
9075_14,8793
4790_20,8794
2480_9,8798
1932_4,8800
4094_2,8801
2787_16,8803
4604_6,8805
4789_18,8806
7383_34,8807
7171_12,8809
9564_13,8810
7171_22,8812
4365_19,8813
6749_0,8828
8761_45,8829
3965_28,8830
4296_9,8831
8715_10,8834
1983_5,8845
4918_13,8848
4247_4,8849
4790_4,8854
9745_0,8857
1854_5,8858
4575_0,8863
9345_34,8869
6173_3,8871
9973_89,8874
4089_1,8880
1257_17,8884
6601_19,8885
6833_25,8887
9722_0,8889
1920_25,8891
7383_66,8892
8813_3,8915
8591_31,8922
7021_0,8923
4048_1,8926
2620_30,8927
5124_76,8932
9898_17,8933
4153_28,8936
2779_2,8969
9527_43,8972
6891_9,8973
5297_1,8974
9920_1,8975
8343_43,8981
5612_3,8984
3883_4,8986
2525_4,9008
4601_0,9015
2584_94,9017
4940_5,9018
3708_0,9019
4430_13,9020
6395_0,9031
7459_1,9034
2735_6,9036
6853_68,9037
2993_21,9040
6390_12,9041
9674_57,9043
2901_7,9045
8575_3,9046
4242_13,9051
1926_18,9054
1933_1,9055
3708_3,9057
2586_60,9061
5497_53,9064
5507_9,9065
3206_10,9066
7478_52,9067
6959_0,9069
9045_0,9070
8694_9,9072
2481_2,9075
3747_66,9076
4751_27,9078
8639_10,9079
6853_4,9080
1623_8,9089
3036_9,9095
1277_0,9096
9972_0,9097
1615_12,9099
7369_8,9100
5477_83,9101
1925_3,9102
3844_11,9105
9384_0,9108
4780_26,9109
4790_1,9110
1610_0,9112
9160_0,9113
6179_84,9116
1252_15,9117
4053_0,9120
9101_6,9121
5885_0,9126
1095_2,9127
5477_96,9129
1932_3,9134
9898_8,9135
3966_24,9137
2586_82,9139
6179_72,9141
8271_12,9143
2586_12,9145
2760_3,9147
6872_55,9148
3486_2,9150
1254_18,9151
7534_1,9152
4242_8,9155
4789_80,9156
6601_11,9158
8730_2,9159
3414_53,9160
9034_5,9173
9810_1,9180
2586_64,9186
8577_55,9189
4525_0,9192
8577_28,1001
4918_5,9194
7095_0,9195
2632_3,9196
2660_3,9200
1097_3,9205
1925_5,9207
7544_0,9209
6922_0,9210
6379_16,9214
7873_45,9215
8722_97,1024
7995_0,1026
9349_61,9222
9160_15,1030
1270_19,9224
4918_3,9226
2795_3,9227
3670_15,9228
2736_36,9229
6070_78,9231
2483_3,9232
1571_13,9240
2446_6,9241
9347_2,9244
2304_22,9253
8171_4,9258
7307_5,9260
4604_9,9261
3486_1,9262
1865_8,9263
3414_64,9264
6872_33,9266
8803_13,9267
2479_27,9268
7309_23,9269
7402_2,1078
9718_17,9271
2788_17,9273
1252_12,1082
9271_92,9274
1933_4,9279
8653_0,9280
3305_3,1090
7190_4,1092
3353_20,9286
4954_11,1095
7120_0,9287
8577_30,1097
2777_6,1096
3899_6,1099
8524_5,9289
6872_78,9293
5434_0,9292
9974_13,9299
2092_6,9304
2740_20,1114
2717_99,9306
1926_34,9308
7168_0,1117
2736_22,9310
7127_6,9311
8518_51,9314
2586_26,9315
1095_1,9319
2717_49,9320
3912_2,1133
9527_82,1134
8203_5,1139
1273_22,9336
6490_27,1146
1983_12,9339
7473_96,9343
1240_0,9345
2717_87,9347
2827_34,9349
2849_80,9350
7154_5,9351
2407_1,9355
6853_6,9357
3279_11,9359
9515_91,9363
4780_76,9366
9096_0,1182
6872_83,9376
3397_9,9377
1610_3,9379
2709_52,9380
7944_1,9381
1565_5,9382
6393_13,9384
9515_39,9386
2787_24,9387
4365_11,9388
6149_4,9400
3574_8,1210
6070_26,9404
8629_35,9406
3905_35,1221
4132_11,9415
4365_33,9417
4785_8,9419
4789_31,9426
2800_5,1236
2586_24,1237
9567_0,1238
8004_75,1240
4004_0,1243
9349_24,1247
4956_8,1249
3269_3,1250
7309_51,1252
9101_15,1254
6482_0,1255
6299_44,1256
6850_0,1257
3523_7,9448
1236_0,9447
7210_3,9451
9102_7,1261
7767_7,9454
2788_4,1265
4232_8,1266
5124_90,1267
3883_0,1268
6853_28,1269
7873_56,1270
6350_2,1271
1858_9,9464
2493_26,1273
6495_0,9466
4614_28,9467
3602_41,9461
6601_25,1277
4607_24,1278
5497_56,9470
4780_49,9471
3295_1,1279
7873_6,1286
3747_85,1287
4047_18,1288
4596_22,9483
4956_22,1292
8288_3,9484
2659_3,9485
7286_14,1293
7304_13,9486
5210_1,9498
9228_9,9499
3744_12,9501
5543_0,1311
6891_10,9508
6041_7,9509
8585_1,9510
3525_22,9511
3442_0,9512
4433_5,9513
5612_16,1322
6299_38,9515
7309_31,9516
9315_5,1325
8591_24,9514
5938_10,1327
8588_35,1328
1883_6,1329
2798_2,1330
2586_20,1331
8439_2,1332
6081_41,1333
6540_12,1334
2518_2,9527
2444_18,1336
10033_0,1335
5835_17,9528
8591_16,1339
6861_18,9532
1269_11,1341
2584_44,1342
1273_10,9535
1870_21,1343
2171_2,1345
6081_72,9537
2581_6,9539
5708_13,9540
6179_62,9541
8197_9,1347
4596_32,1348
5497_66,1349
2167_4,1353
3414_4,9542
3523_9,9538
7709_0,9548
4408_9,1354
7127_4,9550
1920_58,1359
6299_79,1360
9271_33,9549
4232_2,9554
2141_2,9556
6954_53,9558
2712_3,9560
2650_0,9561
5679_6,9562
4582_3,9563
7202_14,9564
4751_91,9565
2838_12,9567
7270_0,1375
3198_3,1378
7844_18,1383
6179_17,9576
1926_29,9582
1846_11,9584
7022_8,9585
2217_1,1394
9347_14,9586
9527_20,9588
3934_29,9589
4094_7,9590
5475_13,9596
2169_9,9597
5175_17,9600
2769_6,9603
10104_22,9607
8130_2,9617
7993_0,9618
7094_2,9619
2366_7,9623
2611_25,9624
3270_4,9625
4373_9,9628
3747_73,9631
8231_10,9633
6167_11,9636
8629_36,9637
4601_24,9638
2795_15,9642
3281_30,9650
6299_43,9651
2586_46,9652
2771_34,9653
6149_3,9655
8884_5,9656
3747_69,9658
8367_0,9659
6081_11,1473
2832_47,9666
2973_6,9669
7134_11,1480
1024_2,1481
7045_2,9674
2407_11,9676
6902_2,9678
4751_93,9685
3883_10,9686
1867_6,9692
7928_15,9696
4296_7,9697
1674_6,9698
8518_91,9699
9674_69,9701
8575_1,9702
6841_12,9704
4171_27,9707
8857_11,9708
4373_17,9709
2602_77,9711
2864_12,9718
7473_60,9720
3538_15,9722
1847_3,9725
7383_96,9729
8577_9,9734
7873_64,9741
1988_3,9742
9347_9,9744
4558_29,9745
2304_3,9747
2390_7,1560
6833_7,1564
9067_33,1565
4558_14,9756
6872_106,9761
2493_15,9762
3166_0,1571
7094_0,1572
3602_70,9771
2360_18,1581
4245_1,9777
7312_18,1587
2477_4,1592
8722_68,9785
6937_0,9786
3965_41,1595
2771_12,1597
6070_84,1601
3708_6,9794
9527_10,1603
2787_37,9797
5807_48,9799
3677_36,1609
7473_13,1610
1271_74,1611
4956_0,1612
2508_4,1614
9160_4,1615
4199_12,1616
9701_8,1617
8792_3,9810
9150_66,9812
6169_1,9814
2711_14,9815
9349_43,1623
2990_11,1624
5175_12,9818
4935_13,9822
3412_0,9823
2122_0,9824
4512_1,1633
6179_73,1630
6861_20,9833
5147_24,1645
7150_0,1646
6863_8,9839
3975_12,9840
3281_11,9843
8171_9,1652
8241_7,9845
4795_13,1654
2397_4,1655
9271_68,9847
5708_7,1656
3420_1,1657
7769_3,1659
8518_22,9853
3405_25,9856
3627_67,9858
3670_9,1669
9823_6,1673
2949_26,1674
3762_0,9866
1870_23,9878
8923_7,9879
7473_94,9883
10032_0,9885
5497_52,9888
2140_11,9891
2929_2,9892
9539_4,9894
1292_17,9895
2674_5,9896
7796_0,9898
1987_7,1707
2578_12,1708
2446_8,9901
1925_23,9899
3965_95,1709
1564_4,1710
4500_5,1706
7122_19,1718
3438_7,1719
5709_9,9912
5107_4,1724
8171_27,9919
2310_0,9920
1920_9,9921
1925_9,9922
7284_14,9924
5523_14,1734
4058_21,10114
6097_14,1738
8524_4,9936
5807_43,10116
3677_55,9938
2484_0,9939
4365_8,9941
3359_26,9943
5117_27,9944
4759_3,9949
4751_13,9952
3405_2,9953
9271_35,9955
8271_6,9956
2832_80,9957
1270_5,9959
7036_9,9963
1271_34,9968
4094_19,9970
2307_11,9972
7391_2,9973
4373_6,9974
1983_3,9975
6775_0,9977
2834_5,9979
3650_3,9980
3975_68,9981
9532_0,9982
3602_32,9987
2483_17,9991
7420_16,9992
2584_73,9993
5161_31,9994
7345_0,9998
4666_0,9999
6344_4,10000
1221_2,10001
7873_33,10002
9993_0,10007
7204_0,10010
4242_10,10013
3405_21,10018
7134_4,10019
7567_7,10021
9898_60,1830
2998_0,10024
9912_0,10026
9979_11,10027
7307_13,10028
4797_95,10031
2945_9,10032
9096_4,10033
3602_92,10035
4604_10,10037
7257_11,1846
7134_41,1847
5497_22,10041
4772_10,10043
9075_87,10044
5972_2,10045
7981_10,1854
3760_17,1858
5661_0,10053
5477_52,1864
2992_11,1865
8810_4,10056
4939_1,1867
2480_7,1869
7309_52,1870
6927_10,10064
3461_5,10065
2826_6,10067
1858_3,1883
7784_10,10075
5161_36,10076
2992_1,10080
7202_24,10086
9823_9,10087
4596_30,10088
4797_51,10091
4717_2,10092
3934_6,10095
5497_88,10096
2118_13,10097
2586_34,10098
2796_15,10099
5938_9,10104
8812_8,10106
5147_22,10108
4603_0,1920
4751_78,10113
1268_19,1922
8518_25,10115
6089_0,1923
2850_13,1925
6390_50,10118
4213_35,1926
8302_4,1927
7202_74,1928
5679_15,1930
8923_15,1929
3538_8,10124
9979_27,1932
5789_17,1933
1708_13,1931
2762_2,1935
4789_7,1934
2717_59,10130
8004_4,1954
1024_7,1980
8004_94,1983
1615_14,1985
2824_0,1987
3828_2,1988
1257_7,1992
7789_26,2023
9898_16,2028
2736_1,2059
3883_8,2092
7789_10,2096
4558_27,2099
2584_62,2111
5835_4,2118
8722_41,2122
3207_8,2130
4795_12,2135
3281_75,2140
9511_2,2141
8203_1,2143
3965_5,2144
3652_4,2145
9241_5,2146
4058_16,2147
8053_0,2149
1256_7,2151
9674_72,2153
3602_96,2154
5959_6,2155
2869_16,2167
5679_5,2169
5497_60,2170
1865_10,2171
3405_10,2174
8671_14,2200
2392_9,2217
4047_6,2260
3438_12,2270
4197_1,2275
1210_1,2279
2481_8,2282
3381_11,2283
6560_3,2285
4340_3,2287
6872_75,2293
2472_4,2297
6900_1,2304
6179_75,2307
2949_67,2309
4726_1,2310
3129_2,2315
4945_32,2342
2949_37,2343
6831_0,2360
3747_46,2362
6853_47,2366
5708_21,2367
1256_24,2368
7789_4,2374
4555_0,2390
2566_13,2392
2518_12,2395
8034_0,2396
5161_33,2397
8135_13,2398
2631_8,2404
3414_60,2407
4751_15,2426
3639_0,2436
9564_3,2439
4956_41,2443
6299_76,2444
1268_23,2446
6872_64,2458
3281_62,2472
4150_2,2477
7637_6,2478
4094_0,2479
9271_48,2480
2762_1,2481
6374_22,2483
6861_25,2484
9067_9,2485
8343_64,2492
6179_31,2493
9540_18,2504
3525_16,2507
9674_29,2508
5147_28,2509
5497_0,2516
9515_98,2518
3281_60,2522
3376_27,2523
