stop_id,lat,long,g_id,boundary_g_id,lower_cut_stops_0,lower_cut_stops_1,lower_cut_stops_2,lower_cut_stops_3
1,46.4880901497136,9.906540106273509,1,-1,0,1,0,0
2,46.70559880447821,9.325725376092349,1,-1,0,1,0,0
3,46.8115604567658,7.13233589601091,2,-1,0,0,1,0
4,46.5235121800776,6.500029733736839,3,-1,0,0,0,0
5,47.5265198729679,7.89595778653585,1,-1,0,1,0,0
6,47.4136160013968,7.50587335750549,2,-1,0,0,1,0
7,46.88369650659579,7.623938935313751,2,-1,0,0,1,0
8,47.395230172966,8.4892141834038,0,-1,0,0,0,0
9,46.7079396191637,9.454660568839973,1,-1,0,1,0,0
10,46.662540521966115,9.57742433558483,1,-1,0,1,0,0
11,46.7818201723613,9.10871036972454,1,-1,0,1,0,0
12,47.0539406054557,6.745817778659,2,-1,0,0,0,0
13,47.550268417506715,9.302198498797981,1,-1,0,1,0,0
14,47.6561687576546,8.85500816714819,1,-1,0,1,0,0
15,46.8586463394053,7.7479693266094,2,-1,0,0,1,0
16,47.1824221026626,8.50768354564787,1,-1,0,1,0,0
17,47.379830753583406,8.48338411720906,0,-1,0,0,0,0
18,47.226839677163106,9.19786816168581,1,-1,0,0,0,0
19,46.0480586542879,8.884993931336279,3,-1,0,0,0,1
20,48.61953324532461,9.84194225418349,1,-1,0,1,0,0
21,47.494403428811395,8.808879677302231,1,-1,0,0,0,0
22,46.2115667378662,7.34699731633399,2,-1,0,0,1,0
23,46.9937685520418,8.48823501974398,1,-1,0,1,0,0
24,46.527047551187295,6.500110582112429,3,-1,0,0,0,0
25,47.4757908082802,9.49084470848934,1,-1,0,0,0,0
26,47.3881513777641,8.621509075314501,0,-1,1,0,0,0
27,47.5311054656123,8.13888918885411,1,-1,0,1,0,0
28,46.8702609008092,7.72649959131595,2,-1,0,0,1,0
29,47.338427085397605,7.23818438595345,2,-1,0,0,1,0
30,46.309119672157,6.88741921691447,2,-1,0,0,1,0
31,47.4264227044394,9.373803210105107,1,-1,0,0,0,0
32,46.346195996460196,7.02666706912522,2,-1,0,0,1,0
33,47.44432984431671,9.504274521988787,1,-1,0,0,0,0
34,48.89192391834022,9.18542649499903,1,-1,0,1,0,0
35,46.4885725735741,7.260273958793019,2,-1,0,0,1,0
36,46.88340179447911,8.420645777757409,3,-1,0,0,0,1
37,47.2004548247179,8.57344920760742,1,-1,0,1,0,0
38,47.17443544661701,8.93415872684298,1,-1,0,1,0,0
39,46.45697714937679,6.869345113395469,2,-1,0,0,1,0
40,46.73491326058821,9.404202199323947,1,-1,0,1,0,0
41,46.8808475549825,8.22431897238577,3,-1,0,0,0,1
42,46.096681145203895,7.228293934673919,3,-1,0,0,0,1
43,47.3016026389596,8.76303864834723,0,-1,1,0,0,0
45,46.9439311169196,7.37468339339441,2,-1,0,0,0,0
46,47.3096919666525,8.52576663231972,0,-1,0,0,0,0
47,47.0176287062145,9.52631019591131,1,-1,0,0,0,0
48,47.200998031012794,7.55190303267018,2,-1,0,0,1,0
49,46.965937648136304,8.110646156317461,2,-1,0,0,1,0
50,46.20769383466129,7.25367134145383,2,-1,0,0,1,0
51,46.796341831197786,7.15531480098189,2,-1,0,0,1,0
52,47.0512353608601,8.34834038052857,3,-1,0,0,0,1
53,46.853142211323394,9.52892429338847,1,-1,0,1,0,0
54,46.818353644924095,8.08594248600073,2,-1,0,0,1,0
55,47.1406559560026,9.48547278308956,1,-1,0,0,0,0
56,46.9485796697653,7.4475008303352785,2,-1,0,0,0,0
