trips,routes
1230_14,1001
2995_6,1003
1415_90,1017
1417_87,1023
1230_69,1024
5277_0,1026
2825_1,1029
4543_47,1030
1228_49,1031
4051_0,1038
4836_101,1051
1446_0,1054
4145_0,1056
5144_0,1058
4813_26,1059
2608_22,1066
1937_0,1068
4473_0,1069
3428_4,1070
1191_2,1071
1182_8,1072
1436_2,1075
1934_9,1076
1415_5,1079
3498_43,1080
3110_11,1081
4949_25,1082
2825_11,1083
5292_3,1084
2997_71,1085
1375_10,1093
1874_67,1096
1788_89,1097
5275_4,1101
4994_1,1102
3785_5,1104
1419_11,1105
1377_8,1114
1375_7,1122
5183_9,1131
3497_10,1132
4400_11,1134
4275_48,1135
4949_29,1139
4808_100,1140
2520_2,1141
1731_14,1142
2287_27,1147
4467_60,1158
4467_67,1165
3110_4,1170
5493_8,1178
2960_6,1179
3922_87,1180
4858_35,1182
4401_53,1183
1482_4,1184
2686_3,1185
4946_0,1189
4401_86,1191
1874_12,1192
1464_71,1204
5144_25,1217
5057_3,1223
2017_0,1226
1488_5,1228
4949_78,1229
1084_42,1230
1413_29,1231
3765_18,1233
1537_4,1234
5451_3,1252
2626_98,1253
2383_10,1254
3572_4,1257
1030_9,1258
3432_3,1259
3498_32,1260
5608_29,1267
2626_36,1268
4693_18,1271
2303_2,1275
3765_30,1279
3822_1,1282
2284_50,1285
4004_6,1307
5042_81,1308
2541_10,1312
1470_89,1315
5047_18,1316
1537_76,1317
3002_15,1319
5139_1,1321
2864_5,1322
1550_71,1326
3613_7,1327
2005_30,1328
3153_0,1330
2013_89,1331
4051_21,1335
1927_3,1336
1926_0,1338
4400_1,1339
3002_10,1340
1485_6,1341
5382_11,1355
1488_23,1357
3769_2,1360
3189_6,1362
3956_7,1363
5050_9,1364
2531_36,1365
1375_1,1366
1330_7,1368
2160_7,1369
2274_35,1374
1934_12,1375
4013_17,1376
5275_5,1377
4611_32,1378
1376_17,1379
1882_15,1382
1419_3,1384
5382_1,1387
5146_17,1388
1535_4,1393
3618_32,1394
4181_55,1395
5248_0,1397
2013_26,1400
3106_40,1401
1413_3,1403
1070_8,1405
1740_100,1406
2617_9,1407
2091_20,1410
5446_3,1411
2520_11,1412
1366_56,1413
1774_2,1414
1927_30,1415
5365_1,1417
1429_12,1418
4012_80,1419
1962_48,1420
4051_1,1421
2284_21,1423
4855_3,1424
3816_3,1427
3571_9,1428
4476_15,1429
2727_19,1431
1180_20,1436
1230_50,1437
4858_8,1438
1962_37,1439
2054_15,1443
4165_0,1446
5087_26,1448
4949_76,1449
3760_3,1450
1080_10,1451
3428_28,1452
2287_43,1453
1229_44,1455
1423_20,1456
2626_37,1459
3709_2,1461
1131_0,1462
3762_9,1464
2141_8,1465
1415_13,1467
1729_8,1468
5042_61,1469
1784_63,1470
1510_3,1471
1397_18,1472
3936_0,1476
5122_76,1477
1959_31,1478
1420_53,1482
3509_9,1485
3424_30,1486
5506_0,1487
1423_4,1488
3106_25,1497
1084_53,1498
2012_8,1499
3763_7,1501
4855_19,1503
1874_55,1504
1228_61,1509
3433_12,1510
2769_0,1511
1355_0,1513
2274_23,1515
4047_0,1516
2274_25,1517
4808_17,1518
2622_7,1521
3033_0,1523
4946_9,1525
1826_64,1526
4947_30,1531
5122_67,1534
1467_24,1535
4476_7,1536
2726_4,1537
3497_14,1538
3576_0,1539
1731_34,1542
4671_12,1543
1977_29,1548
1384_29,1550
2159_11,1554
2825_9,1555
1070_21,1556
1428_12,1557
3494_7,1558
4699_16,1560
4291_0,1563
2383_3,1565
3463_5,1566
1539_5,1567
4502_1,1570
2144_1,1571
1379_25,1576
1413_67,1577
3763_11,1579
4057_6,1584
1363_42,1586
4181_26,1589
2531_63,1590
4806_41,1592
4523_9,1594
2013_96,1595
4604_9,1598
4752_1,1599
1963_30,1600
4200_0,1601
1515_3,1603
4467_17,1609
1439_77,1612
2532_8,1613
2274_22,1615
5341_23,1617
3429_24,1620
5122_43,1621
1550_67,1624
3759_22,1639
5060_0,1641
2085_30,1642
4012_3,1654
1662_2,1662
3618_25,1678
1327_1,1682
1234_9,1684
1773_1,1690
4059_0,1697
1874_31,1698
4377_6,1705
2085_11,1711
4949_13,1713
2200_1,1720
5562_0,1722
2532_9,1723
1059_77,1726
1464_6,1727
1826_56,1728
3618_8,1729
4699_13,1730
2396_0,1731
1417_99,1736
4778_10,1738
1740_29,1739
2143_34,1740
4013_7,1742
1486_36,1743
1328_3,1744
1470_46,1746
1518_40,1748
4836_51,1750
4275_90,1751
4693_16,1753
1729_13,1757
2739_0,1759
2098_37,1761
4544_0,1764
1204_9,1767
4817_0,1770
4135_19,1771
2052_0,1773
2032_6,1774
1537_30,1776
4808_53,1779
4624_1,1782
1784_62,1784
2728_41,1785
2205_10,1786
2082_0,1788
1977_0,1790
1230_39,1794
5608_33,1795
4946_40,1800
5339_10,1801
3861_18,1803
4731_9,1804
2138_13,1808
1180_17,1809
1934_24,1812
1414_11,1814
4949_51,1816
3441_27,1817
2632_15,1819
2515_0,1820
1550_48,1822
3759_11,1826
5544_14,1829
3105_66,1830
1803_1,1831
3045_20,1842
2727_0,1845
5019_7,1847
3174_55,1858
1511_3,1873
3143_3,1874
1727_3,1881
1228_37,1882
1740_84,1885
1962_52,1886
3956_24,1892
1992_11,1896
2302_7,1899
2383_17,1901
1179_15,1904
3866_31,1905
2633_81,1906
3318_54,1908
2111_28,1909
1366_36,1910
1378_21,1912
4809_4,1917
2024_10,1919
1518_37,1921
5020_1,1926
1448_1,1927
2728_55,1928
4802_30,1929
4369_13,1933
4275_31,1934
2525_36,1937
1927_39,1939
3169_24,1944
4993_18,1951
1374_6,1952
1413_41,1954
3876_0,1956
1071_13,1959
1965_0,1961
4413_8,1962
5019_1,1963
4181_53,1965
4177_7,1968
2143_73,1969
5158_6,1970
4598_31,1971
5303_0,1972
4050_19,1973
4858_1,1975
1258_23,1976
4308_1,1977
3821_1,1981
1560_3,1982
2525_29,1983
2115_18,1984
2532_19,1986
1001_27,1990
4579_29,1992
2739_50,1994
1439_71,1998
2532_18,2000
3432_12,2001
5370_4,2004
1029_25,2005
4072_5,2007
2140_10,2008
1464_36,2011
4848_0,2012
1497_17,2013
4372_68,2014
3209_12,2015
5042_43,2016
1085_8,2017
2626_91,2018
4401_52,2023
3045_23,2024
1510_36,2025
4568_8,2026
4802_29,2031
1801_0,2032
3756_0,2043
2550_0,2050
5307_2,2051
1816_1,2052
5042_67,2054
5196_1,2059
5293_4,2065
1542_7,2071
4104_7,2072
1072_5,2076
1535_0,2080
1070_36,2081
4499_3,2082
3486_15,2085
2995_9,2086
4308_12,2090
2011_9,2091
5032_17,2093
1826_75,2094
2735_1,2095
1534_20,2098
2747_7,2100
1069_13,2108
4401_31,2110
5476_0,2111
1230_45,2112
3031_2,2113
4056_7,2114
4181_46,2115
5558_0,2116
2708_14,2117
4876_0,2118
1558_3,2122
1330_22,2123
2013_100,2124
3105_47,2125
1858_9,2126
2267_8,2127
1233_0,2129
2997_45,2132
1826_0,2136
5085_8,2138
3192_22,2140
4373_9,2141
4671_11,2142
2080_13,2143
4695_6,2144
1550_93,2152
2383_19,2153
5266_63,2155
1059_26,2157
3032_69,2159
1228_54,2160
1982_1,2161
4693_13,2162
2267_9,2163
3770_20,2165
1774_6,2166
1366_42,2168
2115_25,2169
3921_32,2172
4275_96,2186
1595_3,2196
4808_48,2197
1482_42,2200
4327_83,2201
5429_1,2205
1084_67,2210
4858_33,2211
4349_3,2217
4543_28,2222
3866_27,2223
1330_16,2224
4934_0,2225
1415_93,2227
1678_1,2228
5064_11,2230
3174_53,2236
5308_24,2237
1072_2,2238
4808_94,2239
3013_9,2243
1550_81,2247
1165_3,2249
1831_1,2251
4051_87,2254
3620_1,2255
5028_1,2258
1413_47,2259
3769_1,2261
1537_45,2262
4836_17,2264
2123_7,2266
1550_15,2267
1470_50,2268
1939_13,2269
4094_15,2273
5042_59,2274
4807_1,2275
2143_21,2276
1366_11,2283
2159_0,2284
1808_12,2285
5266_49,2287
4855_13,2293
3013_13,2294
4400_6,2297
4401_11,2298
3318_14,2299
